❤️ :heart:
😊 :smiley:
→ :rightarrow:
🤷🏻‍♂️ :shrug:
🥰 :aww:
🫶🏽 :hearthands:
😂 :laugh:
😍 :love:
😘 :kiss:
😬 :grimace:
🤯 :mindblown:
🖖🏽 :vulcan:
🖖🏽 :logic:
👍🏽 :thumbsup:
😏 :smirk:
😳 :scared:
😁 :grin:
😉 :winky:
😴 :sleep:
😟 :worried:
😦 :frown:
😒 :unamused:
😨 :fearful:
😱 :scream:
😋 :yum:
👿 :heyyy-devil:
😈 :hehe-impish:
😇 :innocent:
👽 :alien:
🙈 :see_no_evil:
🙉 :hear_no_evil:
🙊 :speak_no_evil:
🙊 :oops:
💀 :skull:
💀 :dead:
🐾 :feet:
👄 :lips:
👀 :eyes:
👅 :tongue:
☀️ :sunny:
❄️ :snowflake:
⛄ :snowman:
🥹 :proud:
😅: phew:
🤮 :vomit:
🤢 :gross:
🤢 :nauseous:
🙌🏽 :yesss:
🙌🏽 :energy:
👨🏻‍🏫 :professor:
💅🏼 :nbd:
💅🏼 :nails:
🥳 :woohoo:
✅ :checkmark:
✅ :done:
🔗 :link:
💯 :100:
😵 :hungover:
💥 :boom:
💥 :bang:
💨 :fast:
🐕 :dog:
🌙 :goodnight:
😴 :sleep:
🙈 :monkey:
👋🏽 :hi:
😔 :sadface:
😢 :crying:
🤞🏽 :fingers crossed:
😅 :phew:
👍🏽 :thumbsup:
👎🏽 :thumbsdown:
👌🏽 :perfect:
👊🏽 :punch:
👊🏽 :fistbump:
✊🏽 :power:
✌🏽 :victory:
✌🏽 :peace:
👋🏽 :wave:
✋🏽 :hand:
✋🏽 :raised_hand:
👐🏽 :open_hands:
☝🏽 :point_up:
👇🏽 :point_down:
👈🏽 :point_left:
👉🏽 :point_right:
🙌🏽 :raised_hands:
🙏🏽 :pray:
🙏🏽 :thank you:
🙏🏽 :namaste:
👆🏽 :point_up_2:
👏🏽 :clap:
👏🏽 :applause:
💪🏽 :bicep:
🤘🏽 :metal:
🖕🏽 :fuck:
🖕🏽 :middle finger:
🤦🏻‍♂️ :ohno:
🧔🏻‍♂️ :bearded-man:
👴🏾 :dad:
👨🏻 :man:
👨🏻 :moustache:
👨🏽 :Indian:
🫵🏽 :you:
🕵🏻‍♂️ :detective:
🕵🏻‍♂️ :sherlock:
👣 :mystery:
👣 :footprints:
👣 :clues:
👴🏻 :God:
